name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Aeromonas veronii	654	species	7214925	74	41	0.0
Photobacterium	657	genus	0	1	0	0.0
Vibrio	662	genus	0	1	0	0.0
Vibrio alginolyticus	663	species	8138835	4	1	0.0
Vibrio cholerae	666	species	6170861	15	8	0.0
Aliivibrio fischeri	668	species	4273718	4	2	0.0
Vibrio harveyi	669	species	11920371	7	4	0.0
Vibrio parahaemolyticus	670	species	10344823	9	7	0.0
Vibrio vulnificus	672	species	10215744	21	12	0.0
Grimontia hollisae	673	species	3998273	9	7	0.0
Vibrio mimicus	674	species	8922704	18	12	0.0
Vibrio fluvialis	676	species	4827724	8	3	0.0
Vibrio campbellii	680	species	12090206	7	5	0.0
Vibrio natriegens	691	species	10692018	8	3	0.0
Plesiomonas	702	genus	0	1	0	0.0
Plesiomonas shigelloides	703	species	3405979	14	8	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	10	7	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	5	4	0.0
Actinobacillus suis	716	species	2501598	4	1	0.0
Actinobacillus equuli	718	species	2431533	3	1	0.0
Haemophilus influenzae	727	species	2672708	9	7	0.0
Haemophilus parainfluenzae	729	species	2086875	2	2	0.0
[Haemophilus] ducreyi	730	species	10121291	4	4	0.0
Histophilus somni	731	species	2138367	2	1	0.0
Aggregatibacter aphrophilus	732	species	3520359	6	4	0.0
[Haemophilus] parasuis	738	species	4546750	9	6	0.0
Pasteurella multocida	747	species	2546987	6	4	0.0
Gallibacterium anatis	750	species	2694139	1	1	0.0
Anaplasma centrale	769	species	1206806	1	0	0.0
Anaplasma marginale	770	species	1200061	5	5	0.0
Bartonella bacilliformis	774	species	1444212	4	4	0.0
Coxiella burnetii	777	species	2076694	9	8	0.0
Ehrlichia ruminantium	779	species	2264626	1	1	0.0
Rickettsia	780	genus	0	1	0	0.0
Rickettsia conorii	781	species	1268755	1	0	0.0
Rickettsia prowazekii	782	species	1111249	1	0	0.0
Orientia tsutsugamushi	784	species	2068019	1	1	0.0
Rickettsia typhi	785	species	1112275	1	1	0.0
Rickettsia akari	786	species	1231060	4	1	0.0
Rickettsia australis	787	species	1323280	3	1	0.0
Chlamydia	810	genus	0	1	1	0.0
Chlamydia trachomatis	813	species	1376168	2	0	0.0
Bacteroides fragilis	817	species	7824806	4	4	0.0
Bacteroides thetaiotaomicron	818	species	6390542	9	6	0.0
Bacteroides vulgatus	821	species	5163189	9	2	0.0
Parabacteroides distasonis	823	species	4811379	6	6	0.0
Campylobacter gracilis	824	species	2281652	6	5	0.0
Sebaldella termitidis	826	species	4486650	5	2	0.0
Campylobacter ureolyticus	827	species	1641887	1	0	0.0
Fibrobacter succinogenes	833	species	7685639	14	12	0.0
Porphyromonas gingivalis	837	species	2343668	7	7	0.0
Prevotella ruminicola	839	species	3619559	8	7	0.0
Wolinella succinogenes	844	species	2110355	5	4	0.0
Fusobacterium	848	genus	0	1	0	0.0
Fusobacterium nucleatum	851	species	2948417	7	7	0.0
Syntrophomonas wolfei	863	species	2936195	7	5	0.0
Dichelobacter nodosus	870	species	1389350	8	4	0.0
Desulfovibrio	872	genus	0	7	0	0.0
Desulfovibrio africanus	873	species	4200534	86	52	0.0
Desulfovibrio desulfuricans	876	species	3366008	126	81	0.0
Desulfovibrio salexigens	880	species	4289847	13	10	0.0
Desulfovibrio vulgaris	881	species	3802302	121	92	0.0
Desulfuromonas	890	genus	0	4	0	0.0
Desulfobulbus propionicus	894	species	3851869	89	66	0.0
Desulfococcus	896	genus	0	1	0	0.0
Desulfococcus multivorans	897	species	4455399	115	99	0.0
Desulfomicrobium	898	genus	0	1	0	0.0
Desulfomicrobium baculatum	899	species	3942657	51	39	0.0
Acidaminococcus fermentans	905	species	2329769	20	14	0.0
Megasphaera elsdenii	907	species	2504349	11	11	0.0
Nitrobacter	911	genus	0	1	0	0.0
Nitrobacter hamburgensis	912	species	5011522	49	29	0.0
Nitrobacter winogradskyi	913	species	3402093	33	20	0.0
Nitrosomonas europaea	915	species	2812094	11	9	0.0
Nitrosomonas eutropha	916	species	2781824	14	9	0.0
Thiobacillus	919	genus	0	1	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	24	17	0.0
Starkeya novella	921	species	4765023	89	62	0.0
Thiomonas intermedia	926	species	3462095	45	32	0.0
Halothiobacillus neapolitanus	927	species	2582886	20	10	0.0
Hydrogenobacter thermophilus	940	species	3486067	4	3	0.0
Ehrlichia chaffeensis	945	species	1174554	2	1	0.0
Neorickettsia risticii	950	species	879977	3	1	0.0
Neorickettsia sennetsu	951	species	859006	3	1	0.0
Francisella persica	954	species	3057444	2	1	0.0
Bdellovibrio bacteriovorus	959	species	3652240	16	12	0.0
Herbaspirillum	963	genus	0	2	0	0.0
Herbaspirillum seropedicae	964	species	8221139	59	37	0.0
Selenomonas	970	genus	0	1	0	0.0
Selenomonas ruminantium	971	species	3631933	8	5	0.0
Bacteroidetes	976	phylum	0	2	0	0.0
Cellulophaga lytica	979	species	3795066	4	4	0.0
Pedobacter heparinus	984	species	5167383	5	5	0.0
Cytophaga hutchinsonii	985	species	4433218	11	7	0.0
Flavobacterium johnsoniae	986	species	5603295	12	9	0.0
Solitalea canadensis	995	species	5202069	2	2	0.0
Flavobacterium columnare	996	species	6492116	3	1	0.0
Flexibacter litoralis	999	species	4919337	7	5	0.0
Marivirga tractuosa	1006	species	4516490	7	5	0.0
Saprospira grandis	1008	species	4400185	10	9	0.0
Weeksella virosa	1014	species	2272954	1	1	0.0
Capnocytophaga ochracea	1018	species	2612925	4	1	0.0
Erythrobacter	1041	genus	0	1	0	0.0
Chromatiaceae	1046	family	0	3	0	0.0
Allochromatium vinosum	1049	species	3669074	121	79	0.0
Halorhodospira halophila	1053	species	2678452	74	56	0.0
Rhodobacter	1060	genus	0	3	0	0.0
Rhodobacter capsulatus	1061	species	3871920	59	45	0.0
Rhodobacter sphaeroides	1063	species	5768316	191	122	0.0
Rhodomicrobium vannielii	1069	species	4014469	53	36	0.0
Rhodopseudomonas	1073	genus	0	5	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	434	268	0.0
Blastochloris viridis	1079	species	11174693	73	50	0.0
Rhodospirillum	1081	genus	0	1	0	0.0
Pararhodospirillum photometricum	1084	species	3876289	58	42	0.0
Rhodospirillum rubrum	1085	species	4379691	58	43	0.0
Chlorobium	1091	genus	0	2	0	0.0
Chlorobium limicola	1092	species	2763181	14	10	0.0
Chlorobium phaeovibrioides	1094	species	1966858	13	8	0.0
Chlorobium phaeobacteroides	1096	species	2935152	32	27	0.0
Chlorobaculum tepidum	1097	species	2154946	32	20	0.0
Pelodictyon	1099	genus	0	1	0	0.0
Pelodictyon luteolum	1100	species	2364842	16	8	0.0
Prosthecochloris aestuarii	1102	species	2579695	18	13	0.0
Chloroflexus	1107	genus	0	2	0	0.0
Chloroflexus aurantiacus	1108	species	5258541	29	0	0.0
Porphyrobacter	1111	genus	0	2	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	43	27	0.0
Cyanobacteria	1117	phylum	0	2	0	0.0
Microcystis aeruginosa	1126	species	4810004	16	10	0.0
Synechococcus	1129	genus	0	5	0	0.0
Synechocystis sp. PCC 6714	1147	species	3738889	4	4	0.0
Synechocystis sp. PCC 6803	1148	species	6436711	7	5	0.0
Trichormus azollae	1164	species	5486145	6	3	0.0
Anabaena cylindrica	1165	species	7063285	10	4	0.0
Rivulariaceae	1185	family	0	1	0	0.0
Trichodesmium erythraeum	1206	species	7750108	2	2	0.0
Prochlorococcus marinus	1219	species	1879471	23	14	0.0
Proteobacteria	1224	phylum	0	12	0	0.0
Nitrosococcus	1227	genus	0	1	0	0.0
Nitrosococcus oceani	1229	species	3522111	18	13	0.0
Nitrosospira multiformis	1231	species	3234309	22	13	0.0
Gammaproteobacteria	1236	class	0	23	0	0.0
Piscirickettsia salmonis	1238	species	10317144	7	5	0.0
Firmicutes	1239	phylum	0	1	0	0.0
Leuconostoc gelidum	1244	species	1966103	1	0	0.0
Leuconostoc mesenteroides	1245	species	1966146	2	2	0.0
Leuconostoc lactis	1246	species	1788069	1	1	0.0
Oenococcus oeni	1247	species	1780517	1	0	0.0
Leuconostoc carnosum	1252	species	1773468	1	1	0.0
Pediococcus pentosaceus	1255	species	1817384	4	4	0.0
Finegoldia magna	1260	species	1986740	2	2	0.0
Ruminococcus albus	1264	species	4482087	4	3	0.0
Micrococcaceae	1268	family	0	5	0	0.0
Micrococcus luteus	1270	species	2501097	39	25	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	41	31	0.0
Kytococcus sedentarius	1276	species	2785024	36	29	0.0
Staphylococcus aureus	1280	species	7252422	6	6	0.0
Staphylococcus carnosus	1281	species	2605765	3	3	0.0
Staphylococcus epidermidis	1282	species	3296362	2	2	0.0
Staphylococcus haemolyticus	1283	species	2629003	1	1	0.0
Staphylococcus hyicus	1284	species	2472129	2	0	0.0
Staphylococcus xylosus	1288	species	8411206	6	5	0.0
Staphylococcus warneri	1292	species	2560716	1	1	0.0
Staphylococcus schleiferi	1295	species	12494798	1	1	0.0
Deinococcus	1298	genus	0	2	1	0.0
Deinococcus radiodurans	1299	species	6628921	33	18	0.0
Streptococcus	1301	genus	0	3	3	0.0
Streptococcus gordonii	1302	species	3335036	4	3	0.0
Streptococcus oralis	1303	species	1958690	1	0	0.0
Streptococcus salivarius	1304	species	3636237	8	4	0.0
Streptococcus suis	1307	species	2683756	7	5	0.0
Streptococcus thermophilus	1308	species	3463400	1	0	0.0
Streptococcus mutans	1309	species	2017559	5	3	0.0
Streptococcus agalactiae	1311	species	5721038	2	1	0.0
Streptococcus pneumoniae	1313	species	2272871	5	2	0.0
Streptococcus pyogenes	1314	species	4096430	2	2	0.0
Streptococcus parasanguinis	1318	species	2162630	4	3	0.0
Streptococcus anginosus	1328	species	2557124	2	1	0.0
Streptococcus dysgalactiae	1334	species	2149105	2	0	0.0
Streptococcus equi	1336	species	2140495	2	2	0.0
Streptococcus intermedius	1338	species	1963517	2	2	0.0
Streptococcus iniae	1346	species	2086959	1	1	0.0
Streptococcus parauberis	1348	species	2143887	4	4	0.0
Streptococcus uberis	1349	species	1852352	2	0	0.0
Enterococcus faecalis	1351	species	3401628	3	3	0.0
Enterococcus faecium	1352	species	5898717	2	1	0.0
Enterococcus gallinarum	1353	species	3821349	1	0	0.0
Enterococcus hirae	1354	species	2908247	4	3	0.0
Lactococcus lactis	1358	species	2704731	3	3	0.0
Lactococcus garvieae	1363	species	1957049	2	2	0.0
Lactococcus piscium	1364	species	2503066	1	1	0.0
Planococcus kocurii	1374	species	3485580	2	2	0.0
Aerococcus urinae	1376	species	2027618	4	3	0.0
Atopobium parvulum	1382	species	1543805	7	5	0.0
Bacillales	1385	order	0	7	0	0.0
Bacillus	1386	genus	0	1	1	0.0
Bacillus amyloliquefaciens	1390	species	5608910	16	1	0.0
Bacillus anthracis	1392	species	17446789	3	1	0.0
Brevibacillus brevis	1393	species	6296436	12	9	0.0
Bacillus cereus	1396	species	9676532	23	11	0.0
Bacillus coagulans	1398	species	4327944	16	13	0.0
Bacillus licheniformis	1402	species	8559910	6	2	0.0
Bacillus megaterium	1404	species	5334474	5	2	0.0
Bacillus mycoides	1405	species	11312355	10	5	0.0
Paenibacillus polymyxa	1406	species	6883167	23	12	0.0
Bacillus pumilus	1408	species	20721195	7	6	0.0
Bacillus sp.	1409	species	4233615	4	0	0.0
Bacillus cellulosilyticus	1413	species	4681672	2	1	0.0
Lysinibacillus sphaericus	1421	species	14371778	5	2	0.0
Geobacillus stearothermophilus	1422	species	3676494	3	0	0.0
Bacillus subtilis	1423	species	7550081	37	15	0.0
Parageobacillus thermoglucosidans	1426	species	5935916	9	6	0.0
Bacillus thuringiensis	1428	species	10269592	20	7	0.0
Amphibacillus xylanus	1449	species	2569486	3	3	0.0
Bacillus atrophaeus	1452	species	4171548	6	2	0.0
Geobacillus kaustophilus	1462	species	3592666	4	0	0.0
Paenibacillus larvae	1464	species	4056006	6	5	0.0
Brevibacillus laterosporus	1465	species	5153859	4	2	0.0
Bacillus methanolicus	1471	species	3425208	4	3	0.0
Sporosarcina psychrophila	1476	species	4674191	8	5	0.0
Bacillus simplex	1478	species	5521719	6	4	0.0
Bacillus smithii	1479	species	3381292	5	4	0.0
Clostridium	1485	genus	0	1	0	0.0
Clostridium acetobutylicum	1488	species	4136895	3	2	0.0
Clostridium botulinum	1491	species	4637504	13	10	0.0
Clostridium butyricum	1492	species	13843423	7	6	0.0
Clostridium cellulovorans	1493	species	5262222	3	3	0.0
Clostridioides difficile	1496	species	6297836	4	4	0.0
Clostridium formicaceticum	1497	species	4586755	8	3	0.0
Clostridium pasteurianum	1501	species	7159922	12	9	0.0
Clostridium perfringens	1502	species	6907798	4	4	0.0
[Clostridium] stercorarium	1510	species	4042789	5	4	0.0
Acetoanaerobium sticklandii	1511	species	2715461	3	2	0.0
Clostridium tetani	1513	species	2869591	5	4	0.0
Ruminiclostridium thermocellum	1515	species	3634338	7	4	0.0
Thermoanaerobacterium thermosaccharolyticum	1517	species	2840014	7	5	0.0
Clostridium tyrobutyricum	1519	species	3134437	1	1	0.0
Clostridium beijerinckii	1520	species	6161692	6	5	0.0
[Clostridium] cellulolyticum	1521	species	4068724	6	5	0.0
Moorella thermoacetica	1525	species	5377887	17	14	0.0
Clostridium kluyveri	1534	species	3989551	4	4	0.0
Clostridium ljungdahlii	1538	species	4630065	2	0	0.0
Clostridium novyi	1542	species	2547720	1	0	0.0
Clostridium scatologenes	1548	species	5749410	5	4	0.0
Gottschalkia acidurici	1556	species	3108248	3	2	0.0
Clostridium baratii	1561	species	3338630	3	1	0.0
Desulfotomaculum	1562	genus	0	3	0	0.0
Desulfosporosinus orientis	1563	species	5863081	9	3	0.0
Desulfotomaculum ruminis	1564	species	3969014	11	10	0.0
Desulfotomaculum nigrificans	1565	species	2892255	10	7	0.0
Halobacillus halophilus	1570	species	4170008	5	5	0.0
Clavibacter	1573	genus	0	1	0	0.0
Leifsonia xyli	1575	species	2955779	113	78	0.0
Lactobacillus	1578	genus	0	1	0	0.0
Lactobacillus acidophilus	1579	species	2018718	2	0	0.0
Lactobacillus brevis	1580	species	2493592	1	1	0.0
Lactobacillus buchneri	1581	species	2575738	6	5	0.0
Lactobacillus casei	1582	species	3039836	2	2	0.0
Lactobacillus delbrueckii	1584	species	1920382	6	5	0.0
Lactobacillus helveticus	1587	species	3148198	1	0	0.0
Lactobacillus plantarum	1590	species	8684028	3	3	0.0
Lactobacillus paracasei	1597	species	4200086	5	4	0.0
Lactobacillus reuteri	1598	species	2811237	3	2	0.0
Lactobacillus sakei	1599	species	1884661	2	1	0.0
Lactobacillus acetotolerans	1600	species	1704859	1	0	0.0
Lactobacillus amylovorus	1604	species	1977087	2	0	0.0
Lactobacillus fermentum	1613	species	2108824	7	4	0.0
Lactobacillus ruminis	1623	species	2066652	2	2	0.0
Lactobacillus salivarius	1624	species	2663133	3	3	0.0
Lactobacillus sanfranciscensis	1625	species	1375770	4	3	0.0
Listeria	1637	genus	0	2	0	0.0
Listeria ivanovii	1638	species	3701623	5	2	0.0
Listeria monocytogenes	1639	species	5926303	8	5	0.0
Listeria seeligeri	1640	species	2797636	3	0	0.0
Listeria innocua	1642	species	3093113	3	2	0.0
Renibacterium salmoninarum	1646	species	3155250	8	5	0.0
Erysipelothrix rhusiopathiae	1648	species	2398466	4	4	0.0
Corynebacteriaceae	1653	family	0	1	0	0.0
Trueperella pyogenes	1661	species	3453353	13	10	0.0
Arthrobacter	1663	genus	0	4	0	0.0
Bifidobacterium	1678	genus	0	2	0	0.0
Bifidobacterium adolescentis	1680	species	3233293	14	10	0.0
Bifidobacterium bifidum	1681	species	2209322	20	15	0.0
Bifidobacterium angulatum	1683	species	2043306	13	7	0.0
Bifidobacterium asteroides	1684	species	2167304	12	7	0.0
Bifidobacterium breve	1685	species	2328021	15	10	0.0
Bifidobacterium catenulatum	1686	species	2079525	5	0	0.0
Bifidobacterium coryneforme	1687	species	1755151	12	3	0.0
Bifidobacterium dentium	1689	species	2636018	12	7	0.0
Bifidobacterium indicum	1691	species	1734546	9	0	0.0
Bifidobacterium pseudolongum	1694	species	2032698	19	7	0.0
Brevibacterium	1696	genus	0	1	0	0.0
Brevibacterium linens	1703	species	8072179	44	33	0.0
Corynebacterium stationis	1705	species	2853666	6	3	0.0
Cellulomonas fimi	1708	species	4266344	72	49	0.0
Cellulomonas flavigena	1711	species	4123179	58	41	0.0
Corynebacterium	1716	genus	0	5	0	0.0
Corynebacterium diphtheriae	1717	species	2468991	6	3	0.0
Corynebacterium glutamicum	1718	species	6155998	11	1	0.0
Corynebacterium pseudotuberculosis	1719	species	6595197	8	5	0.0
Corynebacterium callunae	1721	species	2928683	1	1	0.0
Corynebacterium variabile	1727	species	3433007	27	22	0.0
Peptoclostridium acidaminophilum	1731	species	3055036	7	4	0.0
Eubacterium limosum	1736	species	4233519	23	15	0.0
Thermodesulfobacterium commune	1741	species	1764045	4	2	0.0
Propionibacterium freudenreichii	1744	species	2646865	43	32	0.0
Propionibacterium acnes	1747	species	3361368	11	8	0.0
Acidipropionibacterium acidipropionici	1748	species	7323316	70	51	0.0
Pseudopropionibacterium propionicum	1750	species	3449360	26	21	0.0
Thermoanaerobacter	1754	genus	0	1	0	0.0
Actinobacteria	1760	class	0	56	2	0.0
Mycobacteriaceae	1762	family	0	8	0	0.0
Mycobacterium	1763	genus	0	54	17	0.0
Mycobacterium avium	1764	species	6028446	126	85	0.0
Mycobacterium bovis	1765	species	6302864	22	0	0.0
Mycobacterium fortuitum	1766	species	6254616	57	5	0.0
Mycobacterium intracellulare	1767	species	5374059	38	7	0.0
Mycobacterium kansasii	1768	species	6489764	41	32	0.0
Mycobacterium leprae	1769	species	3268137	9	7	0.0
Mycobacterium phlei	1771	species	5349645	78	45	0.0
Mycobacterium smegmatis	1772	species	20962296	60	40	0.0
Mycobacterium tuberculosis	1773	species	7403540	24	0	0.0
Mycobacterium chelonae	1774	species	5029817	13	5	0.0
Mycobacterium marinum	1781	species	6555333	54	12	0.0
Mycobacterium neoaurum	1795	species	5421267	43	0	0.0
Mycobacterium chubuense	1800	species	6342624	66	38	0.0
Mycobacterium gilvum	1804	species	5883060	87	57	0.0
Mycobacterium vaccae	1810	species	6235754	76	44	0.0
Amycolatopsis	1813	genus	0	2	0	0.0
Amycolatopsis methanolica	1814	species	7237391	90	58	0.0
Nocardia	1817	genus	0	3	0	0.0
Rhodococcus	1827	genus	0	10	0	0.0
Rhodococcus fascians	1828	species	5502110	29	20	0.0
Rhodococcus erythropolis	1833	species	6734667	50	23	0.0
Saccharopolyspora erythraea	1836	species	8212805	97	65	0.0
Nocardioides	1839	genus	0	2	0	0.0
Pseudonocardia	1847	genus	0	15	0	0.0
Saccharomonospora viridis	1852	species	4308349	40	18	0.0
Frankia	1854	genus	0	6	0	0.0
Frankia alni	1859	species	7497934	120	78	0.0
Geodermatophilus	1860	genus	0	2	0	0.0
Geodermatophilus obscurus	1861	species	5322497	101	64	0.0
Actinoplanes	1865	genus	0	5	0	0.0
Actinoplanes missouriensis	1866	species	8773466	122	73	0.0
Micromonospora	1873	genus	0	2	0	0.0
Streptomyces	1883	genus	0	105	28	0.0
Streptomyces albus	1888	species	15352626	169	99	0.0
Streptomyces ambofaciens	1889	species	8265737	94	53	0.0
Streptomyces clavuligerus	1901	species	7590758	71	48	0.0
Streptomyces coelicolor	1902	species	9054847	98	43	0.0
Streptomyces glaucescens	1907	species	7623774	71	42	0.0
Streptomyces globisporus	1908	species	7783599	79	44	0.0
Streptomyces griseus	1911	species	8545929	83	56	0.0
Streptomyces hygroscopicus	1912	species	10333189	109	61	0.0
Streptomyces lincolnensis	1915	species	10319054	99	57	0.0
Streptomyces lividans	1916	species	8345283	78	39	0.0
Streptomyces reticuli	1926	species	9336224	96	50	0.0
Streptomyces scabiei	1930	species	10148695	103	63	0.0
Streptomyces noursei	1971	species	9815884	96	29	0.0
Streptosporangium roseum	2001	species	10369518	120	87	0.0
Streptosporangiaceae	2004	family	0	1	0	0.0
Thermobispora bispora	2006	species	4189976	86	59	0.0
Nocardiopsis	2013	genus	0	1	0	0.0
Nocardiopsis dassonvillei	2014	species	6543312	74	49	0.0
Thermomonospora	2019	genus	0	1	0	0.0
Thermomonospora curvata	2020	species	5639016	91	58	0.0
Thermobifida fusca	2021	species	3642249	30	22	0.0
Kibdelosporangium	2029	genus	0	1	0	0.0
Microbacterium testaceum	2033	species	3982034	53	39	0.0
Actinomycetales	2037	order	0	2	0	0.0
Tropheryma whipplei	2039	species	926620	2	2	0.0
Aeromicrobium erythreum	2041	species	3629239	71	48	0.0
Pimelobacter simplex	2045	species	5637360	102	66	0.0
Rothia dentocariosa	2047	species	2506025	3	2	0.0
Actinomycetaceae	2049	family	0	5	0	0.0
Mobiluncus	2050	genus	0	1	0	0.0
Mobiluncus curtisii	2051	species	2146480	7	6	0.0
Gordonia	2053	genus	0	3	0	0.0
Gordonia bronchialis	2054	species	5290012	44	27	0.0
Gordonia terrae	2055	species	5701501	57	29	0.0
Sphaerobacter	2056	genus	0	1	0	0.0
Sphaerobacter thermophilus	2057	species	3993764	81	65	0.0
Tsukamurella paurometabola	2061	species	4479724	45	36	0.0
Streptomycetaceae	2062	family	0	15	0	0.0
Kitasatospora	2063	genus	0	1	0	0.0
Kitasatospora setae	2066	species	8783278	134	92	0.0
Pseudonocardiaceae	2070	family	0	20	0	0.0
Mycoplasma	2093	genus	0	1	0	0.0
Mycoplasma capricolum	2095	species	1692864	2	1	0.0
Mycoplasma gallisepticum	2096	species	968554	1	0	0.0
Mycoplasma hyorhinis	2100	species	836420	1	1	0.0
Mycoplasma mycoides	2102	species	2100167	2	1	0.0
Mycoplasma leachii	2105	species	1008951	2	1	0.0
Mycoplasma synoviae	2109	species	822985	3	1	0.0
Mycoplasma agalactiae	2110	species	942070	1	0	0.0
Mycoplasma mobile	2118	species	777079	1	1	0.0
Mycoplasma putrefaciens	2123	species	846299	1	0	0.0
Mycoplasma flocculare	2128	species	778866	1	1	0.0
Spiroplasma apis	2137	species	1160554	1	0	0.0
Spiroplasma mirum	2144	species	2265199	1	0	0.0
Spiroplasma taiwanense	2145	species	1086278	2	2	0.0
Acholeplasma laidlawii	2148	species	1496992	1	0	0.0
Mesoplasma florum	2151	species	809524	3	2	0.0
Methanobacterium formicicum	2162	species	7422571	4	4	0.0
Methanobrevibacter smithii	2173	species	1853160	1	1	0.0
Methanohalophilus mahii	2176	species	2012424	8	5	0.0
Methanothermus fervidus	2180	species	1243342	2	0	0.0
Methanococcus vannielii	2187	species	1720048	1	1	0.0
Methanotorris igneus	2189	species	1854197	2	0	0.0
Methanocaldococcus jannaschii	2190	species	1739927	3	1	0.0
Methanomicrobiales	2191	order	0	1	0	0.0
Methanoculleus marisnigri	2198	species	2478101	19	10	0.0
Methanospirillum hungatei	2203	species	3544738	6	6	0.0
Methanosarcina	2207	genus	0	1	0	0.0
Methanosarcina barkeri	2208	species	4650840	6	5	0.0
Methanosarcina mazei	2209	species	4120463	7	6	0.0
Methanosarcina thermophila	2210	species	3127379	4	4	0.0
Methanosarcina acetivorans	2214	species	5751492	7	3	0.0
Methanosarcina vacuolata	2215	species	4563885	2	1	0.0
Methanosaeta concilii	2223	species	3026645	11	7	0.0
Methanococcoides methylutens	2226	species	2394636	15	15	0.0
Archaeoglobus fulgidus	2234	species	2247343	3	3	0.0
Halobacteriales	2235	order	0	3	0	0.0
Halobacteriaceae	2236	family	0	1	0	0.0
Haloarcula	2237	genus	0	1	0	0.0
Haloarcula marismortui	2238	species	4274642	22	10	0.0
Halobacterium salinarum	2242	species	2619893	21	14	0.0
Haloferax volcanii	2246	species	4012900	29	17	0.0
Halorubrum lacusprofundi	2247	species	3692576	29	24	0.0
Haloferax	2251	genus	0	1	0	0.0
Haloferax mediterranei	2252	species	3904707	18	11	0.0
Natronomonas pharaonis	2257	species	2749696	23	16	0.0
Thermococcus litoralis	2265	species	2215172	2	1	0.0
Thermofilum pendens	2269	species	1813393	5	5	0.0
Thermoproteus tenax	2271	species	1841542	1	1	0.0
Desulfurococcus mucosus	2275	species	1314639	1	1	0.0
Staphylothermus marinus	2280	species	1570485	3	2	0.0
Sulfolobus acidocaldarius	2285	species	2172056	1	1	0.0
Desulfobacterium	2295	genus	0	1	0	0.0
Desulfobacterium autotrophicum	2296	species	5657782	55	42	0.0
Thermoplasma acidophilum	2303	species	1564906	2	2	0.0
Methanosphaera stadtmanae	2317	species	1767403	1	0	0.0
Thermoanaerobacter kivui	2325	species	2397824	5	3	0.0
Halanaerobium praevalens	2331	species	2309262	8	4	0.0
Thermotoga	2335	genus	0	3	0	0.0
Thermotoga maritima	2336	species	5599391	5	2	0.0
Thermotoga neapolitana	2337	species	1884562	5	0	0.0
Haliscomenobacter hydrossis	2350	species	8771651	25	19	0.0
Flexistipes sinusarabici	2352	species	2526590	10	7	0.0
Desulfomonile tiedjei	2358	species	6527027	46	38	0.0
Xylella fastidiosa	2371	species	2609554	10	9	0.0
Thermosipho africanus	2421	species	2016657	2	1	0.0
Fervidobacterium islandicum	2423	species	2237377	1	1	0.0
Fervidobacterium nodosum	2424	species	1948941	4	2	0.0
Teredinibacter turnerae	2426	species	5193164	15	12	0.0
Roseobacter denitrificans	2434	species	4331234	33	26	0.0
Gardnerella vaginalis	2702	species	1669705	2	2	0.0
Hirschia baltica	2724	species	3540114	6	4	0.0
Symbiobacterium	2733	genus	0	2	0	0.0
Symbiobacterium thermophilum	2734	species	3566135	68	53	0.0
Marinobacter	2742	genus	0	4	0	0.0
Marinobacter hydrocarbonoclasticus	2743	species	4384621	49	33	0.0
Halomonas	2745	genus	0	2	0	0.0
Halomonas elongata	2746	species	4061296	77	59	0.0
Carnobacterium maltaromaticum	2751	species	3650416	6	4	0.0
Primates	9443	order	0	1	0	0.0
Homo sapiens	9606	species	3238442024	1103	849	0.0282767
Orf virus	10258	species	139962	3	2	0.0
Human herpesvirus 1	10298	species	152222	1	1	0.0
Macacine herpesvirus 1	10325	species	156789	1	0	0.0
Suid herpesvirus 1	10345	species	143461	1	1	0.0
Spodoptera frugiperda multiple nucleopolyhedrovirus	10455	species	131331	1	1	0.0
Ranavirus	10492	genus	0	1	0	0.0
Myoviridae	10662	family	153908	1	0	0.0
Siphoviridae	10699	family	47340	1	0	0.0
Equid herpesvirus 2	12657	species	184439	1	1	0.0
Acidovorax	12916	genus	0	6	0	0.0
Azoarcus	12960	genus	0	4	0	0.0
Magnetospirillum	13134	genus	0	4	0	0.0
Burkholderia mallei	13373	species	18282343	47	4	0.0
Sphingomonas	13687	genus	0	8	0	0.0
Thiocystis	13724	genus	0	2	0	0.0
Natrialba magadii	13769	species	4443643	12	8	0.0
Bifidobacterium animalis	28025	species	2054141	17	14	0.0
Bifidobacterium pseudocatenulatum	28026	species	2313752	10	4	0.0
Lysinibacillus fusiformis	28031	species	4843789	4	2	0.0
Staphylococcus lugdunensis	28035	species	3479969	1	1	0.0
Streptococcus mitis	28037	species	3110438	4	3	0.0
Lactobacillus curvatus	28038	species	5775917	2	2	0.0
Acidothermus	28048	genus	0	1	0	0.0
Acidothermus cellulolyticus	28049	species	2443540	18	11	0.0
Micromonosporaceae	28056	family	0	6	0	0.0
Rhodoferax	28065	genus	0	1	0	0.0
Rubrivivax gelatinosus	28068	species	5043253	128	84	0.0
Nostoc sp. PCC 7524	28072	species	6718869	7	6	0.0
Neisseria weaveri	28091	species	2188497	18	14	0.0
Burkholderia gladioli	28095	species	8975879	132	86	0.0
Sinorhizobium	28105	genus	0	1	0	0.0
Alteromonas macleodii	28108	species	5557691	9	6	0.0
Francisella philomiragia	28110	species	4757195	5	4	0.0
